munCode,munName,capital,provinceCode,provinceName
05127,Mijares,Mijares,05,Ávila
05128,Mingorría,Mingorría,05,Ávila
05129,Mirón, El,Mirón, El,05,Ávila
05130,Mironcillo,Mironcillo,05,Ávila
05131,Mirueña de los Infanzones,Mirueña de los Infanzones,05,Ávila
05132,Mombeltrán,Mombeltrán,05,Ávila
05133,Monsalupe,Monsalupe,05,Ávila
05134,Moraleja de Matacabras,Moraleja de Matacabras,05,Ávila
05135,Muñana,Muñana,05,Ávila
05136,Muñico,Muñico,05,Ávila
05138,Muñogalindo,Muñogalindo,05,Ávila
05139,Muñogrande,Muñogrande,05,Ávila
05140,Muñomer del Peco,Muñomer del Peco,05,Ávila
05141,Muñopepe,Muñopepe,05,Ávila
05142,Muñosancho,Muñosancho,05,Ávila
05143,Muñotello,Muñotello,05,Ávila
05144,Narrillos del Álamo,Narrillos del Álamo,05,Ávila
05145,Narrillos del Rebollar,Narrillos del Rebollar,05,Ávila
05147,Narros del Castillo,Narros del Castillo,05,Ávila
05148,Narros del Puerto,Narros del Puerto,05,Ávila
05149,Narros de Saldueña,Narros de Saldueña,05,Ávila
05151,Navacepedilla de Corneja,Navacepedilla de Corneja,05,Ávila
05152,Nava de Arévalo,Nava de Arévalo,05,Ávila
05153,Nava del Barco,Nava del Barco,05,Ávila
05154,Navadijos,Navadijos,05,Ávila
05155,Navaescurial,Navaescurial,05,Ávila
05156,Navahondilla,Navahondilla,05,Ávila
05157,Navalacruz,Navalacruz,05,Ávila
05158,Navalmoral,Navalmoral,05,Ávila
05159,Navalonguilla,Navalonguilla,05,Ávila
05160,Navalosa,Navalosa,05,Ávila
